date,regime,target_exposure,daily_portfolio_return,equity
2026-08-25,calm,1.2,-0.0020957729496075828,99748.5072460471
2026-09-01,calm,1.2,-0.006450166802044605,98976.43383405675
2026-09-04,calm,1.2,-0.006839641766747895,98164.07781312655
